>752:652,,,
23BD,No Response,string,---,The presence of intellectual cruise control
23BE,No Response,string,---,Type of control of the front dimensions
23BF,00,hex,Discrete,Daytime running light control type
23C0,00,bool,00,The presence of a programmable speed value (Touch display)
23C1,No Response,string,---,Type of control of front wiper
23C2,00,bool,00,The presence of the front wiper in the LIN network
23C3,No Response,string,---,The presence of a reversing inertial seat belt coil
23C4,No Response,string,---,The presence of an option for automatic braking in the event of a risk of collision
23C5,No Response,string,---,Type of interior lighting
23C6,No Response,string,---,Turning on daylight headlights on the steering wheel switch
23C7,01,bool,01,The presence of daylight headlights on LEDs for the mode of showroom
23C8,02,hex,Using a touch display,Obtaining a requirement of re-initialization of a system for detecting pressure in tires (from ABS/ESP)
23C9,No Response,string,---,Stopping of diagnostics of the front dimensions of the car
23CA,No Response,string,---,Stopping of diagnostics of the vehicle daylight of the car
23CB,No Response,string,---,Electricity management resolution Stop and Start options
23CC,00,hex,Lack of decoding,Type of coding of information of front door locks and trunk lid or tailgate
23CD,01,bool,01,Activation of the disconnect algorithm of the injection fan
23CE,00,bool,00,"A car with a gas system (GNV, GPL)"
23CF,No Response,string,---,The presence of air conditioner control panel via wired connection
23D0,00,bool,00,The presence of a decrease in the release of nitrogen oxides
23D1,00,bool,00,The presence of a security alarm with a vehicle lift-up protection function
23D2,00,bool,00,The presence of heated front windshield washer jets
23D3,00,hex,Lack of crap pump for coolant,Features of the cooling circuit
23D4,No Response,string,---,Type of disconnecting the driver of the rear windows (controlled by an intelligent switching unit)
23D5,05,hex,Changing the displayed page of the on-board computer,The function of the left button of the steering wheel switching module
23D6,No Response,string,---,External mirrors with the position for movement in the rear
23D7,No Response,string,---,Option of the configuration of economical windshield washing (limited washing time and number of stirring strokes)
23D8,00,bool,00,The presence of an electric vacuum pump
23D9,No Response,string,---,The presence of a solution optimization module
23DA,No Response,string,---,The presence of dynamic driving function
23DB,00,bool,00,"Option ""Taxi"""
23DC,00,hex,Old legislation,ESP certification type
23DD,No Response,string,---,Adjustment of the brightness of the interior backlight from the instrument panel
23DE,No Response,string,---,Type of vibrators of the warning function of unintentional intersection of road marking lines
23DF,No Response,string,---,The presence of radiator cladding
23E0,No Response,string,---,Option for inclusion of light when unlocking a car
23E1,No Response,string,---,The rear window washer option is located opposite the rear wiper brush
23E2,00,bool,00,The presence of windshield heating
23E5,04,hex,A controlled generator with the optimization of the battery of the generation 4,Control type of controlled generator
23e6,01,bool,01,The presence of a low pressure fuel pump
23e7,No Response,string,---,Option: To disable traction control function
23E8,00,hex,Absent,The presence of front and rear seats with heating
23ea,01,bool,01,Option automatic lighting on
23EB,No Response,string,---,Type of automatic inclusion of lighting
23EC,01,hex,Using the instrument panel,Type of information from the switch of assistance in parking
23ED,No Response,string,---,The type of information from the STOP and Start switch
23EE,00,hex,Absent,Dynamic driving function
23F1,No Response,string,---,Generator class type
23f2,No Response,string,---,The state of initialization of the warning function in the risk of collision
23f3,No Response,string,---,The state of initialization of the sensitivity of the warning function in the risk of a collision
23f4,No Response,string,---,The state of initialization of the automatic braking function at the risk of collision
23f5,No Response,string,---,Using the rear fog lights for the function of the stop signal
23f6,01,bool,01,The presence of a sound alarm exceeding the established speed limit
23f7,No Response,string,---,Stopping of diagnostics of the rear dimensions of the car
23f8,No Response,string,---,Option of protection from the rise of the car is controlled by an ultrasound module
23F9,05,hex,Euro 6.3,Type of gearbox moment
23FA,No Response,string,---,"Option of the sound alarm of the position of the lever of the automated gearbox, depending on the state of fastening the driver's seat belt"
23fb,No Response,string,---,The presence of an automatic gearbox with a computer of an electric drive
23fc,00,bool,00,The presence of anti-slip mode switch (ASR)
23FD,03,hex,2 generation,Automatic braking type at risk of collision
23FE,02,hex,"Physical and Touch interface ""Man-Machine""","Type of obtaining information ""Man-Machine"" air conditioning"
23FF,No Response,string,---,Simultaneous inclusion of daylight and overall lanterns
2402,No Response,string,---,Permission of the discharge of electricity stored in the energy battery in the rear window heating network
2403,No Response,string,---,Clothing switching unit
2404,No Response,string,---,The presence of stop-signals on the rear bumper
2405,No Response,string,---,Type of power steering
2406,No Response,string,---,Type of control of front indicators
2407,No Response,string,---,Front turn signal control type
2408,No Response,string,---,The presence of a warning system about unintentional intersection of road marking lines
2409,00,hex,Wired communication,The presence of diagnostics of near-light LED headlights
240A,No Response,string,---,Diagnostics disconnection
240B,No Response,string,---,Diagnosis of additional static head lighting
240C,No Response,string,---,Type of system of additional static head lighting
240D,01,bool,01,The presence of additional static head lighting
240E,01,hex,Intellectual switching unit,Computer controlling perimeter security alarm
240F,00,hex,Absent,Telematics options
2410,No Response,string,---,The presence and type of gear shift control on the steering wheel
2411,No Response,string,---,The width of the side door
2412,No Response,string,---,The presence and type of rear door
2413,No Response,string,---,The presence of a switching unit for the re-equipment of the body
2414,03,hex,Type 1 and type 3,The presence and type of determination of the driver's attentiveness
2415,01,hex,Reception of a multifunctional video camera,The presence and type of perception of traffic signaling
2416,No Response,string,---,The presence and type of the right rear side door
2417,No Response,string,---,The presence and type of left rear side door
2418,01,hex,Led lights,Type of front side lights
2419,No Response,string,---,Type of anterior rotation indicators
241A,No Response,string,---,The presence of a switch between a simple cruise control system and an adaptive cruise control system
241B,No Response,string,---,The presence of the front electric windows
241C,No Response,string,---,The presence of a rear window cleaner
241D,No Response,string,---,Option: Opening rear window
241E,No Response,string,---,Electric ignition lock
241F,No Response,string,---,"Option ""Access with Employed Hands"" for the right rear side door"
2420,No Response,string,---,"Option ""Access with Employed Hands"" for the left rear side door"
2421,No Response,string,---,"Option ""Access with Employed Hands"" for the back door"
2422,No Response,string,---,Type of air duct heating the air conditioning system
2423,No Response,string,---,Type of message Prevention function of crossing road marking lines
2424,00,hex,Textile,Type of upholstery seats
2425,01,bool,01,The availability of controller controller
2426,No Response,string,---,Type of control of rotation indicators with a smooth increase in brightness
2427,00,bool,00,The presence of a control system for descent
2428,No Response,string,---,Type of button on windshield heating
2429,No Response,string,---,Type of controlled air intake module
242A,02,hex,"Generation 2 (warning about the danger of a collision with moving, motionless objects and pedestrians)",Type of warning in the risk of collision
242B,No Response,string,---,Type of information encoding from the locks of the rear swing doors
242C,No Response,string,---,"The number of the calibration table antennas of the access function ""Free Hands"""
242D,No Response,string,---,Automatic blocking access to the cargo area when moving
242E,No Response,string,---,The presence of a help function in holding a car in the movement lane
242F,No Response,string,---,Lane Keeping Assist linked to Blind Spot Monitoring
2430,No Response,string,---,gradual shutdown of rotation indicators (while maintaining the blinking mode)
2431,02,hex,AXN8,Automatic gearbox type
2432,00,hex,Absent,The presence of heated seats or heated ventilated seats
2433,No Response,string,---,Selecting the modes of operation of a hybrid drive
2434,No Response,string,---,Option of a comfortable polysensory package CFG_EBK_BSI_OPT_MODE_DYN_COMFORT_000
2435,No Response,string,---,Option Polisor Package CFG_EBL_BSI_POLSENSORIAL_PACK_000
2436,No Response,string,---,Navigation option to provide radar points of interest with appropriate speed restrictions
2437,00,bool,00,Option of a wireless charger
2438,No Response,string,---,Type of trunk opening switch or baggage compartment door
2446,No Response,string,---,Additional rear overall lantern
2447,No Response,string,---,Detection of the presence of a spare wheel
2448,No Response,string,---,Steering wheel with heating
2449,No Response,string,---,Multifunctional video registrar camera
244B,No Response,string,---,The presence and duration of the withdrawal of the division of speed exceeding
244C,01,hex,The function is limited by the warning about the intersection of road marking lines,The presence and type of assistance in holding the car within the lane
244D,00,bool,00,Function of additional head lighting
2452,00,hex,Full Auto Stop (BVA),Type of mode for ACC
2453,03,hex,Camera,Type technologie detection for ACC
245A,No Response,string,---,"Turning on the power steering computer power relay, made by the BSI unit"
245B,No Response,string,---,Car with power saving for power windows
245C,00,bool,00,Block for maintaining the voltage of the on-board network
2461,No Response,string,---,Front seats with massage function
2465,No Response,string,---,Cooling liquid heater type
2466,No Response,string,---,Rear-view mirrors
2480,No Response,string,---,The presence of the interior lighting function in the personal settings menu
2481,00,bool,00,Improved operation of the high beam switching function
2482,No Response,string,---,LED/signaling device shows a state of activation activation
2483,No Response,string,---,Type of orange warning light to indicate a faulty brake booster
2484,00,hex,There is no function,The presence and type of emergency call
2486,01,hex,Halogen,Type of overall tail lights
2487,00,hex,3 positional switch,Type of lamp switch
248A,01,hex,Simple instrument panel,Type of dashboard
248B,No Response,string,---,The presence of a matrix display
248D,No Response,string,---,Faram light height corrector
248F,No Response,string,---,"Management ""day/night"""
2490,No Response,string,---,The presence of a LED to disable the state of work in ZEV mode
2493,No Response,string,---,Turning on the security alarm when blocking locks using a mechanical key
2494,No Response,string,---,The presence of the rear traction electric machine
2495,No Response,string,---,Type of activation of the ASR+ Antibux system+
2498,No Response,string,---,The function of the heat pump
2499,00,hex,Normal mode,Mode of operation of the vehicle's steering and damping
249D,No Response,string,---,Type of acceptance of information from the contactor of the semi-automatic system of assistance in parking
f080,9809154880001398307076800233FFFF0001FFFFFFFF,string_ascii,9809154880001398307076800233FFFF0001FFFFFFFF,ZA Zone
f0fe,0000000013B309031450060A550D03140002000001942880,string_ascii,0000000013B309031450060A550D03140002000001942880,ZI Zone
f190,56584B5550484E4B4B4C34323431383933,string_ascii,56584B5550484E4B4B4C34323431383933,VIN
d501,00,bool,00,CFG_BR1_BSI_UCECAN_UDS_BML_000_AABSENT: BOLK Free Hands
d502,01,bool,01,CFG_BR2_BSI_UCECAN_UDS_HDC_000_ABSENT: steering wheel switch
d503,01,bool,01,CFG_BR3_BSI_UCECAN_UDS_RBG_000_ABSENT: airbags
d504,00,bool,00,CFG_BR4_BSI_UCECAN_UDS_LCE_000: reader electronic key
d505,00,bool,00,CFG_BR5_BSI_UCECAN_UDS_BRHF_000: high-frequency receiver
d506,00,bool,00,CFG_AMJ_BSI_UCE_CAN_BSM_000: engine switching unit
d507,00,bool,00,CFG_BR7_BSI_UCECAN_UDS_BDCP_000: pedestrian detection unit
d508,01,bool,01,CFG_BR8_BSI_UCECAN_UDS_PDPC_EDPC_000: Driver door control panel
d509,00,bool,00,CFG_BR9_BSI_UCECAN_UDS_AVE_000: Ignition electric lock
d50a,01,bool,01,CFG_BRA_BSI_UCECAN_UDS_BSI_000: Intellectual switching unit (BSI)
d50b,00,bool,00,CFG_BRB_BSI_UCECAN_PLC_000: motorized sliding side door
d50c,00,bool,00,CFG_BRC_BSI_UCECAN_UDS_BDMA_000: storage cover on the rear seats
d50d,00,bool,00,CFG_BRD_BSI_UCECAN_UDS_AUS_000: security alarm
d50e,01,bool,01,CFG_BRE_BSI_UCECAN_UDS_AAS_000: Parking Assistance System
d50f,00,bool,00,CFG_BRF_BSI_UCECAN_UDS_MAE_000: training car module
d510,01,bool,01,CFG_BRG_BSI_UCECAN_UDS_CMB_000: instrument panel
d511,00,bool,00,CFG_BRH_BSI_UCECAN_UDS_RADIO_000: radio receiver
d512,00,bool,00,CFG_AN4_BSI_UCE_CAN_STL_000: warning system about an unintentional intersection of the road marking line (with infrared sensors)
d513,01,bool,01,CFG_BRJ_BSI_UCECAN_UDS_BTEL_000: telematics block or radio navigation
d514,00,bool,00,CFG_BRK_BSI_UCECAN_UDS_EMF_000: display
d515,00,bool,00,CFG_BRL_BSI_UCECAN_UDS_TE_000: folding roof ???
d516,00,bool,00,CFG_BRM_BSI_UCECAN_UDS_CATVM_BCM_000: CHARTAL ELECTRICA
d517,00,bool,00,CFG_BRN_BSI_UCECAN_UDS_BSGRQ_000: trailer switch
d518,01,bool,01,CFG_BRO_BSI_UCECAN_UDS_CLIM_000: air conditioning
d519,00,bool,00,CFG_ANE_BSI_UCE_CAN_MEMO_S_COND_000: driver's seat position
d51A,00,bool,00,CFG_BRQ_BSI_UCECAN_UDS_BDMPASS_000: BOLSTIER de mémorisation du siège passager ???
d51B,00,bool,00,CFG_BRR_BSI_UCECAN_UDS_VTH_000: Head-up vision ???
d51C,00,bool,00,CFG_BRS_BSI_UCECAN_UDS_CDC_000: CD-changer
d51D,00,bool,00,CFG_BRT_BSI_UCECAN_UDS_MATT_000: matrix display
d51E,00,bool,00,CFG_BSR_BSI_UCECAN_UDS_KML_NOMAD_000: KIT MAINS LIBRES / BOLLY NOMADE ???
d51f,00,bool,00,CFG_BRV_BSI_UCECAN_UDS_DEF_000: deflector / spoiler
d520,01,bool,01,CFG_BRW_BSI_UCECAN_UDS_FACADEMUX_000: multifunctional front panel on the Can
d521,00,bool,00,CFG_BRX_BSI_UCECAN_MDS_000: Autonomous telecommunication unit
d522,00,bool,00,CFG_Bry_BSI_UCECAN_UDS_AMPLI_000: audio system amplifier
d523,00,bool,00,CFG_BRZ_BSI_UCECAN_UDS_AR2S_000_NEW: starter control unit or hybrid traction chain
d524,00,bool,00,CFG_BS0_BSI_UCECAN_UDS_CAV_000: Turning steering angle sensor multiplex
d525,00,bool,00,CFG_BS1_BSI_UCECAN_UDS_CTH_PTMU_000: control unit of a hybrid traction chain
d526,01,bool,01,CFG_BS2_BSI_UCECAN_UDS_CMM_000: engine computer
d527,00,bool,00,CFG_BS3_BSI_UCECAN_UDS_BV_000: automatic gearbox or automated manual gearbox
d528,01,bool,01,CFG_BS4_BSI_UCECAN_UDS_UC_FREIN_000: anti-lock system (ABS) / Dynamic stabilization system (ESP)
d529,00,bool,00,CFG_BS5_BSI_UCECAN_UDS_DSG_000: tire pressure control computer
d52a,00,bool,00,CFG_BS6_BSI_UCECAN_UDS_CSS_000: suspension control unit (CSS)
d52b,00,bool,00,CFG_BS7_BSI_UCECAN_UDS_BHI_000: BOX HYDRAULILICE Intelligent (BHI) ???
d52c,00,bool,00,CFG_000_TELE_BVA_DIVER_FRENELEC_TEMP: electric parking brake
d52d,01,bool,01,CFG_BS9_BSI_UCECAN_UDA_DA_000: Power steering computer
d52e,00,bool,00,CFG_BSA_BSI_UCECAN_UDS_ARTIV_000: computer system for compliance with distance between cars or intellectual cruise control
d52f,00,bool,00,CFG_BSB_BSI_UCECAN_UDS_AFS_BCP_000: computer managed
d530,00,bool,00,CFG_BSC_BSI_UCECAN_UDS_CAAR_000: pneumatic suspension
d531,00,bool,00,CFG_AO1_BIC_GYR_ACC_000: gyroscope sensors and accelerometer
d532,00,bool,00,CFG_BSE_BSI_UCECAN_ADS_ASRPLUS_000: MOLETTE de Sélection de l? Anti-Patinage ???
d533,00,bool,00,CFG_BSF_BSI_UCECAN_UDS_BIR_000: BOLEER D'OLATION Réseau ???
d534,00,bool,00,CFG_BTC_BSI_UCECAN_UDS_SAM_000: STRUCTION CLOSE
d535,00,bool,00,CFG_BTD_BSI_UCECAN_UDS_CAFR_000: computer control computer // 508
d536,01,bool,01,CFG_BTE_BSI_UCECAN_UDS_CMF_000: multifunctional video camera (CVM)
d537,00,bool,00,CFG_BTF_BSI_UCECAN_UDS_BPV_000: seats vibrators control unit
d538,00,bool,00,CFG_BZK_BSI_UCECAN_UDS_BEBA_000: computer of active shock absorbers
d539,00,bool,00,CFG_D1E_BSI_UCECAN_UDS_BSE_000: Lighting utility box ???
d53a,00,bool,00,CFG_D1F_BSI_UCECAN_UDS_HCU1_000: hybrid system 1
d53b,00,bool,00,CFG_D1G_BSI_UCECAN_UDS_HCU2_000: hybrid system 2
d53c,00,bool,00,CFG_D1G_BSI_UCECAN_UDS_HCU2_000: hybrid system 2
d53d,00,bool,00,CFG_D68_BSI_UCECAN_UDS_ECR_G_000: reversing inertial coil of the left seat belt
d53e,00,bool,00,CFG_D69_BSI_UCECAN_UDS_ECR_D_000: reversing inertial coil of the right belt belt
d53f,00,bool,00,CFG_D9E_BSI_UCECAN_UDS_DMTR_000: control unit of the on-board network
d540,00,bool,00,CFG_D9F_BSI_UCECAN_AVP_000: panoramic visual control unit (360 ° camera)
d541,00,bool,00,CFG_DBG_BSI_UCECAN_UDS_TBMU_000: traction monitoring module
d542,No Response,string,---,CFG_DGG_BSI_UCECAN_PIU_000: panoramic visual control unit (360 ° camera)
d543,No Response,string,---,CFG_DKK_BSI_UCECAN_UDS_BSG_E_000: BOLEER de Servitude d'éclairege ???
d544,00,bool,00,CFG_DLR_BSI_UCECAN_UDS_BVACOMELE_000: computer control computer automatic gearbox
d545,00,bool,00,CFG_EG8_BSI_UCECAN_ESM_000: impulsive gear lever
d546,00,bool,00,CFG_EIP_BSI_UCECAN_IDVR_000: Intelligent Driving Video Recording (IDVR)
d547,00,bool,00,CFG_LQ_BSI_UCECAN_CLIM_AR_000: computer of the rear air conditioning system
d548,00,bool,00,CFG_EN1_BSI_UCECAN_IVCD_000: Inside Video Camera for Driver (IVCD)
